feature,gain
listing_baseline_occ,169432.64176774025
market_month_occ,29881.55248093605
doy_sin,15833.760251402855
review_score,14496.113174796104
dayofyear,13455.206740260124
doy_cos,13071.873848080635
archetype_dow_occ,13034.987601995468
host_tenure_days,12780.30985057354
num_reviews,12284.993282318115
day,12263.37148976326
base_price,10353.61026751995
property_type,9210.627074956894
lon,8899.292733192444
lat,8805.888048529625
days_to_holiday,8486.962586045265
market,8048.287343144417
year,6505.9785232543945
dayofweek,5569.888511300087
capacity,4428.391996264458
dow_sin,3742.363860487938
dow_cos,3710.4963006973267
weekofyear,3172.511645078659
bedrooms,2396.2419937849045
is_superhost,2221.555510163307
holiday_mult,1985.8782277107239
archetype,1779.4547464847565
is_holiday,1760.5527416467667
market_baseline_occ,1608.149222254753
air_conditioning,1511.2769718170166
instant_book,1445.7094130516052
pool,1325.7087488174438
parking,1098.9989168643951
month,964.9373725652695
kitchen,772.2599174976349
country,467.30269861221313
is_weekend,358.5273801088333
wifi,345.51498079299927
quarter,15.045799732208252
market_lead_dummy,0.0
